x,newids
mal_mito_2,PF3D7_MIT02100
mal_mito_1,PF3D7_MIT01400
RIFIN,
PfEMP1,
PFA0520,PF3D7_0110700
mal_mito_3,PF3D7_MIT02300
PFC0100,PF3D7_0302000
STEVOR,
PF3D7_0531900,
PF3D7_0112600,
PF3D7_0112400,
PF3D7_0725700,
PF3D7_0725900,
SURFIN,
PFC10_API0056,
PF3D7_0531700,
PF3D7_1139000,
PF3D7_716600,PF3D7_0716600
PF3D7_522700,PF3D7_0522700
PF3D7_910800,PF3D7_0910800
PF3D7_622200,PF3D7_0622200
PF3D7_910900,PF3D7_0910900
PF3D7_207200,PF3D7_0207200
PF3D7_727200,PF3D7_0727200
PF3D7_720400,PF3D7_0720400
PF3D7_614800,PF3D7_0614800
PF3D7_927300,PF3D7_0927300
PF3D7_709200,PF3D7_0709200
PF3D7_416700,PF3D7_0416700
PF3D7_930900,PF3D7_0930900
PF3D7_322500,PF3D7_0322500
PF3D7_104400,PF3D7_0104400
PF3D7_934100,PF3D7_0934100
PF3D7_606900,PF3D7_0606900
PF3D7_515800,PF3D7_0515800
PF3D7_923000,PF3D7_0923000
PF3D7_614200,PF3D7_0614200
PF3D7_302700,PF3D7_0302700
PF3D7_306300,PF3D7_0306300
PF3D7_824600,PF3D7_0824600
PF3D7_092250,PF3D7_0922500
PF3D7_113620,PF3D7_1136200
PF3D7_1102000,PF3D7_1102100
PF3D7_0725500,
PF3D7_093590,PF3D7_0935900
MAATS1,PF3D7_0714100
MATE,PF3D7_0212800
UPF1,PF3D7_1005500
UPF2,PF3D7_0925800
UPF3,PF3D7_1327700
Pf3D7_0532300,PF3D7_0532300
Pf3D7_0632250,PF3D7_0632250
MA,PF3D7_0316000
Pf34,PF3D7_0419700
Pf38,PF3D7_0508000
MAg-1,PF3D7_1467100
Pf92,PF3D7_1364100
Pf41,PF3D7_0404900
Pf113,PF3D7_1420700
ALV7/Pf77/,PF3D7_0621400
PFl0415c,PF3D7_1208300
PFl0175w,PF3D7_1203500
3BPF,PF3D7_1115300
PFB0455w-a,PF3D7_0210100
PFC0200w-a,PF3D7_0304400
VAR2CSA uORF,PF3D7_1200610
Pf332,PF3D7_1149000
SPF45,PF3D7_1454000
CPSF (CPF),PF3D7_0513200
MAPK2,PF3D7_1113900
MAPK1,PF3D7_1431500
CPF),PF3D7_0513200
